name, latitude, longitude
Langstaff Rd and Edgeley Blvd,43.81049048,-79.53773986
Major Mackenzie Dr and Ilan Ramon Blvd,43.86481256,-79.46847735
Rutherford Road and Huntington Road,43.80452712,-79.65527367
Highway 7 at York-Durham Line,43.89915655,-79.18976843
14th Avenue & Canfield Drive/Vanni Avenue,43.85330394,-79.26262586
16th Avenue at Longwater Chase/William Berczy Boulevard,43.88158041,-79.3042426
Nashville Road at Huntington Road,43.84093578,-79.66404032
Major Mackenzie Drive and Donald Cousens Parkway,43.91240629,-79.25760439
Major Mackenzie Drive and York-Durham Line ,43.92446066,-79.20159288
Yonge Street and Eagle Street,44.045436,-79.478159
Jane Street and Rutherford Road,43.83090304,-79.53268901
Yonge Street and Elgin Mills Road,43.88959398,-79.44148503
King Road and Highway 27,43.90204001,-79.65279495
Jane and Springside,43.8382047,-79.53441259
Bloomington Road and Ninth Line,44.00640997,-79.26420999
Stouffville Road and Highway 404 NB Off ramp,43.94016802,-79.38761602
Davis Drive and Highway 404 SB Off Ramp/Commuter Lot,44.06784304,-79.42228186
High Street and Highway 48,44.29841197,-79.35124003
Highway 400 and King Rd,43.9210976,-79.56403516
Yonge Street and High Tech Road,43.84148804,-79.43024099
Bayview Ave and Creswick/Highway 7 Ramp,43.84262497,-79.40726605
Davis Drive and Main Street,44.05913496,-79.46119402
Davis Drive and Parkside,44.05668976,-79.47205329
Woodbine and Morton,44.23695867,-79.44946811
Highway 7 and Jane Street,43.79414,-79.52450596
Highway 7 and Weston Road,43.78939396,-79.54747097
Yonge Street and Royal Orchard Drive,43.82284402,-79.42598598
Yonge Street and Davis Drive,44.05484597,-79.48032805
Davis Drive and Leslie Street,44.06578596,-79.43191203
Yonge Street and Green Lane,44.07289897,-79.48481704
Highway 7 and McCowan Road,43.86717404,-79.28450601
King and Bathurst,43.93893136,-79.48143151
King and Weston,43.91779351,-79.57795197
Warden Avenue and Enterprise Boulevard,43.84851561,-79.33193432
Gorham Street and Prospect Street,44.05159258,-79.45322577
Wellington Street and First Commerce,44.01194761,-79.41442163
Ravenshoe Road & The Queensway,44.19328076,-79.46437956
Bayview Avenue and Vandorf Sideroad,43.98657526,-79.43956858
The Queensway South and Morton Avenue,44.23365092,-79.4654644
Stouffville Road and Ninth Line,43.96933494,-79.25682897
Bayview Avenue and Weldrick Road,43.86879748,-79.41372861
Woodbine Avenue and Green Lane / Herald Road,44.08929868,-79.4119874
