OBJECTID,SEGMENTID,FULL_NAME,FROM_STREET,TO_STREET,LEGALSHIELD,LIFECYCLESTATUS,ROADNUMBER,ROADSECTION,MAINTBYSUMMER,MAINTBYWINTER,MAINTSECTION,MAINTCLASS,ROADTYPE,PREVSEGMENT,NEXTSEGMENT,NUMLANES,OWNEDBY,SHAPESTLength
1428,07-18W,Highway 7 Westbound,Jane Street,Keele Street,7,Active,7,18,SW,SW,SW,1,Regional Road,07-16W,07-19W,3,York Region,2147.71864658877
1429,38-12,Bathurst Street,Elgin Mills Road West / Teston Road,Gamble Road,38,Active,38,12,SW,SW,SW,2,Regional Road,38-10,38-14,5,York Region,2067.65509841233
1430,55-12,Jane Street,Teston Road,Kirby Road,55,Active,55,12,SW,SW,SW,3,Regional Road,55-10,55-14,2,York Region,2025.73521564213
1431,08-12,Woodbine Avenue,Elgin Mills Road East,19th Avenue,8,Active,8,12,SE,SE,SE,2,Regional Road,08-10,08-14,4,York Region,2351.59238844146
1432,07-21,Highway 7,Dufferin Street,Langstaff Road,7,Active,7,21,SW,SW,SW,1,Regional Road,07-20,07-22,6,York Region,528.049494776475
1433,07-95,Highway 7 - Highway 50 Ramp,Highway 7,Highway 50,7,Active,7,95,SW,SW,SW,1,Channelized Right Turn Lane,Start,End,1,York Region,375.641019422532
1434,11-04,King Road,Albion Vaughan Road / Caledon King Town Line South,11th Concession,11,Active,11,4,SW,SW,SW,2,Regional Road,Start,11-06,2,York Region,1467.09561125387
1435,11-20,King Road,Keele Street,Dufferin Street,11,Active,11,20,SW,SW,SW,2,Regional Road,11-18,11-22,5,York Region,1951.57233645117
1436,13-38,Mount Albert Road,McCowan Road,Highway 48,13,Active,13,38,NO,NO,NO,2,Regional Road,13-36,13-39,2,York Region,1975.99030316394
1437,73-34,16th Avenue,Warden Avenue,Kennedy Road,73,Active,73,34,SE,SE,SE,2,Regional Road,73-32,73-36,5,York Region,2054.60389707425
1438,67-02,McCowan Road,Denison Street,14th Avenue,67,Active,67,2,SE,SE,SE,1,Regional Road,67-01,67-03,6,York Region,867.584153919135
1439,72-12,Langstaff Road,Islington Avenue,Pine Valley Drive,72,Active,72,12,SW,SW,SW,2,Regional Road,72-08,72-14,2,York Region,655.799561372856
1440,27-18,Highway 27,King Road,15th Sideroad,27,Active,27,18,CE,CE,CE,2,Regional Road,27-16,27-20,3,York Region,2087.57490119186
1441,01-26S,Yonge Street Southbound,Mulock Drive,St Johns Sideroad,1,Active,1,26,CE,CE,CE,2,Regional Road,01-27,01-24,2,York Region,2078.77287672429
1442,07-24E,Highway 7 Eastbound,Bathurst Street,Yonge Street,7,Active,7,24,SW,SW,SW,1,Regional Road,07-22,07-26,3,York Region,2227.61631591399
1443,40-32,Bloomington Road,Woodbine Avenue,Warden Avenue,40,Active,40,32,CE,CE,CE,2,Regional Road,40-30,40-34,2,York Region,2106.74770266294
1444,74-24,Mulock Drive,Bathurst Street,Yonge Street,74,Active,74,24,CE,CE,CE,2,Regional Road,Start,74-26,5,York Region,1702.17636471795
