OBJECTID,SEGMENTID,FULL_NAME,FROM_STREET,TO_STREET,LEGALSHIELD,LIFECYCLESTATUS,ROADNUMBER,ROADSECTION,MAINTBYSUMMER,MAINTBYWINTER,MAINTSECTION,MAINTCLASS,ROADTYPE,PREVSEGMENT,NEXTSEGMENT,NUMLANES,OWNEDBY,SHAPESTLength
783,38-02,Bathurst Street,Steeles Avenue West,Centre Street,38,Active,38,2,SW,SW,SW,2,Regional Road,Start,38-03,6,York Region,2075.51397297929
784,30-12,York/Durham Line,Elgin Mills Road East,19th Avenue,30,Active,30,12,SE,SE,SE,2,Regional Road,30-10,30-14,2,York Region,2103.03750859622
785,07-15W,Highway 7 Westbound,Highway 400,Weston Road,7,Active,7,15,SW,SW,SW,1,Regional Road,07-16W,07-14W,3,York Region,721.962820393425
786,77-29,Queensville Sideroad,Leslie Street,Highway 404,77,Active,77,29,NO,NO,NO,3,Regional Road,77-28,77-30,2,York Region,1079.49676075398
787,65-40,Warden Avenue,Holborn Road,Boag Road,65,Active,65,40,NO,NO,NO,3,Regional Road,65-38,65-42,2,York Region,2042.77248158802
788,82-44,Victoria Road,Ravenshoe Road,Old Shiloh Road,82,Active,82,44,NO,NO,NO,3,Regional Road,Start,82-56,2,York Region,1466.21545189614
789,55-02,Jane Street,407,Highway 7,55,Active,55,2,SW,SW,SW,2,Regional Road,55-01,55-04,6,York Region,904.462076446521
790,01-18,Yonge Street,King Road,Bloomington Road,1,Active,1,18,CE,SE,CE,2,Regional Road,01-16,01-20,5,York Region,2068.72471288164
791,07-28M,Highway 7 Rapidway,Bayview Avenue,Leslie Street,,Active,7,28,SE,SE,SE,1,Rapidway,07-26,07-29M,2,Metrolinx,2024.45405448847
792,88-36,Baseline Road,Kennedy Road,McCowan Road,8A,Active,88,36,NO,NO,NO,2,Regional Road,88-34,88-38,2,York Region,2054.02769867985
793,27-07,Highway 27,Rutherford Road,Major Mackenzie Drive West,27,Active,27,7,SW,SW,SW,2,Regional Road,27-06,27-08,5,York Region,1531.73085655672
794,71-19W,Centre Street Westbound,Highway 407,Highway 7,71,Active,71,19,SW,SW,SW,,Regional Road,71-21W,End,2,Province of Ontario,190.135738933367
795,07-15E,Highway 7 Eastbound,Weston Road,Highway 400,7,Active,7,15,SW,SW,SW,1,Regional Road,07-14E,07-16E,3,York Region,714.387682237927
796,51-31,Yonge Street,Highway 11 / Morning Sideroad,Holland Landing Road / Old Yonge Street,51,Active,51,31,NO,NO,NO,2,Regional Road,Start,51-32,2,York Region,1252.04161401798
797,38-06N,Bathurst Street Northbound,Richmond Hill-Vaughan Border,Carrville Road / Rutherford Road,38,Active,38,6,SW,SW,SW,1,Regional Road,38-04N,38-08,2,York Region,2094.26245190966
798,56-20,Weston Road,15th Sideroad,16th Sideroad,56,Active,56,20,CE,CE,CE,3,Regional Road,56-18,56-22,2,York Region,2025.32157716255
799,81-46,Weirs Sideroad,Old Shiloh Road,Snoddon Road,81,Active,81,46,NO,NO,NO,3,Regional Road,81-44,81-48,2,York Region,1501.63096592939
800,34-34,2nd Concession Road,Mount Albert Road,Doane Road,34,Active,34,34,NO,NO,NO,3,Regional Road,34-32,34-36,2,York Region,1664.76481202297
801,65-16,Warden Avenue,Stouffville Road,Bethesda Sideroad,65,Active,65,16,SE,SE,SE,3,Regional Road,65-14,65-18,2,York Region,2250.8794012256
802,56-26,Weston Road,Lloydtown/Aurora Road,19th Sideroad,56,Active,56,26,CE,CE,CE,3,Regional Road,56-25,56-28,2,York Region,1230.1028817438
803,31-20,Davis Drive West,Keele Street,Dufferin Street,31,Active,31,20,CE,CE,CE,1,Regional Road,31-18,31-21,5,York Region,2193.04793364931
804,71-40,14th Avenue,Markham Road,Ninth Line,71,Active,71,40,SE,SE,SE,3,Regional Road,71-38,71-41,4,York Region,2140.35210368186
805,69-14,Ninth Line,19th Avenue,Fairview Avenue / Main Street,69,Active,69,14,SE,SE,SE,2,Regional Road,69-12,69-16,2,York Region,2054.77215712351
806,06-02,Keele Street,Highway 407,Highway 7,6,Active,6,2,SW,SW,SW,2,Regional Road,06-01,06-04,6,York Region,892.378426358926
807,13-24,Bradford Street,Holland Landing Road,Thompson Drive / Yonge Street,13,Active,13,24,NO,NO,NO,4,Regional Road,Start,13-26,2,York Region,599.356787501592
808,65-02,Warden Avenue,Denison Street,14th Avenue / Alden Road,65,Active,65,2,SE,SE,SE,2,Regional Road,65-01,65-03,5,York Region,1154.62832990369
809,12-03,Leslie Street,Don Mills Road / John Street,Highway 407,12,Active,12,3,SE,SE,SE,2,Regional Road,12-02,12-04,5,York Region,2019.96120562739
810,24-12,Highway 50,Nashville Road,Albion Vaughan Road,24,Active,24,12,,,SW,,Regional Road,,,4,Part Owner,1467.15996138895
811,03-28,Kennedy Road,Vivian Road,Davis Drive,3,Active,3,28,CE,CE,CE,3,Regional Road,03-26,03-30,2,York Region,2072.62041091153
812,38-34,Bathurst Street,Morning Sideroad,Highway 11,38,Active,38,34,NO,CE,NO,4,Regional Road,38-32,38-35,2,York Region,3055.27896493595
813,49-29,Elgin Mills Road East,Leslie Street,Highway 404,49,Active,49,29,SE,SE,SE,2,Regional Road,49-28,49-30,5,York Region,980.836732442186
814,33-30,Glenwoods Avenue,The Queensway South,Woodbine Avenue,33,Active,33,30,NO,NO,NO,3,Regional Road,Start,End,2,York Region,1719.8747969054
815,12-38,Leslie Street,Proposed Bradford Bypass,Holborn Road,12,Active,12,38,NO,NO,NO,2,Regional Road,12-37,12-40,2,York Region,494.150998648344
816,16-94,Lloydtown/Aurora Road,Lloydtown/Aurora Road,Lloydtown/Aurora Road,16,Active,16,94,CE,CE,CE,4,Regional Road,16-12,16-12,2,York Region,394.828045639291
817,57-10,Pine Valley Drive,Major Mackenzie Drive West,Teston Road,57,Active,57,10,SW,SW,SW,4,Regional Road,57-08,End,2,York Region,2074.68659215833
818,06-08,Keele Street,Rutherford Road,Major Mackenzie Drive West,6,Active,6,8,SW,SW,SW,3,Regional Road,06-06,06-10,4,York Region,2075.43453859233
819,01-10M,Yonge Street Rapidway,Major Mackenzie Drive East,Elgin Mills Road East,,Active,1,10,,SE,SE,1,Rapidway,01-08M,01-12M,,Metrolinx,2066.30017762204
820,07-14E,Highway 7 Eastbound,Pine Valley Drive,Weston Road,7,Active,7,14,SW,SW,SW,1,Regional Road,07-12E,07-15E,3,York Region,2172.93762855462
821,34-12,Bayview Avenue,Elgin Mills Road East,19th Avenue,34,Active,34,12,SE,CE,SE,2,Regional Road,34-10,34-14,3,York Region,1976.21510096419
822,49-08,Nashville Road,Kleins Crescent,Highway 27,49,Active,49,8,SW,SW,SW,3,Regional Road,49-06,49-14,2,York Region,2633.38449181689
823,07-91M,Highway 7 - Bathurst Street Interchange Rapidway,Highway 7,Bathurst Street,7,Active,7,91,SW,SW,SW,1,Rapidway,Start,End,2,York Region,472.584173003619
824,07-26M,Highway 7 Rapidway,Yonge Street,Bayview Avenue,7,Active,7,26,SE,SE,SE,1,Rapidway,07-24M,07-28M,1,York Region,1884.1519536338
825,95-26,Steeles Avenue East,Yonge Street,Bayview Avenue,95,Active,95,26,,,SE,0,Regional Road,95-24,95-28,4,Toronto,1997.46377756943
826,32-54,Ravenshoe Road,Weirs Sideroad,Victoria Road,32,Active,32,54,NO,NO,NO,3,Regional Road,32-52,32-56,2,York Region,1640.14964837787
827,25-29,Major Mackenzie Drive East,Leslie Street,Highway 404,25,Active,25,29,SE,SE,SE,2,Regional Road,25-28,25-30,4,York Region,992.541986398042
828,08-99,Woodbine Avenue - Aurora Road Ramp,Woodbine Avenue,Aurora Road,8,Active,8,99,CE,CE,CE,2,Channelized Right Turn Lane,Start,End,1,York Region,193.942820264189
829,08-04,Woodbine Avenue,Highway 407,Highway 7,8,Active,8,4,SE,SE,SE,2,Regional Road,08-03,08-06,7,York Region,1002.91277172428
830,65-26,Warden Avenue,St Johns Sideroad,Vivian Road,65,Active,65,26,CE,CE,CE,3,Regional Road,65-24,65-28,2,York Region,2070.52518504557
831,01-08S,Yonge Street Southbound,Major Mackenzie Drive East / Major Mackenzie Drive West,16th Avenue / Carrville Road,1,Active,1,8,SE,SE,SE,2,Regional Road,01-12S,01-06S,2,York Region,2113.05355552907
832,14-18,King Vaughan Road,Jane Street,Keele Street,14,Active,14,18,SW,SW,SW,3,Regional Road,14-16,14-20,2,York Region,2220.7504809509
833,08-44,Woodbine Avenue,Ravenshoe Road,Glenwoods Avenue,8,Active,8,44,NO,NO,NO,2,Regional Road,08-42,08-45,4,York Region,2046.56864205463
834,73-14,Rutherford Road,Pine Valley Drive,Weston Road,73,Active,73,14,SW,SW,SW,2,Regional Road,73-12,73-15,5,York Region,2159.85943817327
835,34-10,Bayview Avenue,Major Mackenzie Drive East,Elgin Mills Road East,34,Active,34,10,SE,SE,SE,2,Regional Road,34-08,34-12,5,York Region,1981.17867757672
836,03-02,Kennedy Road,Denison Street,14th Avenue,3,Active,3,2,SE,SE,SE,2,Regional Road,03-01,03-03,5,York Region,1030.65131530657
837,08-48,Woodbine Avenue,Morton Avenue / Pollock Road,Old Homestead Road,8,Active,8,48,NO,NO,NO,2,Regional Road,08-46,08-50,2,York Region,2067.60250187018
838,95-38,Steeles Avenue East,McCowan Road,Markham Road,95,Active,95,38,,,SE,0,Regional Road,95-36,95-40,4,Toronto,2032.3781346265
839,19-28,Green Lane East,2nd Concession Road / Main Street North,Leslie Street,19,Active,19,28,NO,CE,NO,2,Regional Road,19-26,19-29,4,York Region,2016.2212676619
840,03-42,Kennedy Road,Boag Road,Ravenshoe Road,3,Active,3,42,NO,NO,NO,3,Regional Road,03-40,03-44,2,York Region,2102.18945587701
841,78-48,Metro Road South,Morton Avenue / The Queensway South,Old Homestead Road,78,Active,78,48,NO,NO,NO,3,Regional Road,Start,78-50,2,York Region,2216.8203623378
842,53-04,Dufferin Street,Highway 407,Highway 7,53,Active,53,4,SW,SW,SW,2,Regional Road,53-03,53-05,7,York Region,337.044515164936
843,27-20,Highway 27,15th Sideroad,16th Sideroad,27,Active,27,20,CE,CE,CE,2,Regional Road,27-18,27-22,2,York Region,2073.51204664654
844,01-12M,Yonge Street Rapidway,Elgin Mills Road East / Elgin Mills Road West,19th Avenue / Gamble Road,1,Active,1,12,SE,SE,SE,1,Rapidway,01-08M,01-14M,2,York Region,2058.26922298383
845,03-54,Kennedy Road,Baseline Road,Metro Road North,3,Active,3,54,NO,NO,NO,3,Regional Road,03-52,End,2,York Region,2205.04922913717
846,06-26,Keele Street,Lloydtown/Aurora Road,19th Sideroad,6,Active,6,26,CE,CE,CE,3,Regional Road,06-24,06-28,2,York Region,2199.09600282443
847,14-22,King Vaughan Road,Dufferin Street,Bathurst Street,14,Active,14,22,SW,SW,SW,3,Regional Road,14-20,14-24,2,York Region,2016.70717935362
848,53-10,Dufferin Street,Major Mackenzie Drive West,Teston Road,53,Active,53,10,SW,SW,SW,2,Regional Road,53-08,53-12,2,York Region,2043.61996933412
849,31-24,Davis Drive West,Bathurst Street,Davis Drive / Yonge Street,31,Active,31,24,CE,CE,CE,2,Regional Road,31-22,31-25,4,York Region,2168.38942237403
850,34-32,2nd Concession Road,Green Lane East / Main Street North,Mount Albert Road,34,Active,34,32,NO,NO,NO,3,Regional Road,34-28,34-34,2,York Region,2495.2488883117
851,55-14,Jane Street,Kirby Road,King Vaughan Road,55,Active,55,14,SW,SW,SW,3,Regional Road,55-12,55-16,2,York Region,2083.62784899138
852,69-20,Ninth Line,Bloomington Road,Hillsdale Drive,69,Active,69,20,CE,CE,CE,3,Regional Road,69-18,69-22,2,York Region,2063.40159023489
853,08-14,Woodbine Avenue,19th Avenue,Stouffville Road,8,Active,8,14,SE,SE,SE,3,Regional Road,08-12,08-16,4,York Region,2223.15060086772
854,65-44,Warden Avenue,Ravenshoe Road,Glenwoods Avenue,65,Active,65,44,NO,NO,NO,3,Regional Road,65-42,65-46,2,York Region,2265.57389484343
855,72-21,Langstaff Road,Dufferin Street,Highway 7,72,Active,72,21,SW,SW,SW,2,Regional Road,72-20,End,5,York Region,625.82896530433
856,55-04,Jane Street,Highway 7,Langstaff Road,55,Active,55,4,SW,SW,SW,2,Regional Road,55-02,55-06,5,York Region,2064.05223268809
857,01-06S,Yonge Street Southbound,16th Avenue / Carrville Road,Highway 7,1,Active,1,6,SE,SE,SE,2,Regional Road,01-08S,01-04,2,York Region,1976.77513951919
858,08-10,Woodbine Avenue,Major Mackenzie Drive East,Elgin Mills Road East,8,Active,8,10,SE,SE,SE,2,Regional Road,08-08,08-12,4,York Region,2487.22946901914
859,08-54,Woodbine Avenue,Deer Park Road,Metro Road North,8,Active,8,54,NO,NO,NO,3,Regional Road,08-52,08-55,2,York Region,2142.84358091394
860,14-26,Stouffville Road,Yonge Street,Bayview Avenue,14,Active,14,26,SE,SE,SE,3,Regional Road,Start,14-28,2,York Region,1830.41009765407
861,79-30,Old Homestead Road,The Queensway North,Woodbine Avenue,79,Active,79,30,NO,NO,NO,3,Regional Road,79-29,79-32,2,York Region,1142.60026072791
862,53-12,Dufferin Street,Teston Road,Kirby Road,53,Active,53,12,SW,SW,SW,2,Regional Road,53-10,53-14,2,York Region,2034.43452848593
863,12-12,Leslie Street,Elgin Mills Road East,19th Avenue,12,Active,12,12,SE,SE,SE,2,Regional Road,12-10,12-14,4,York Region,2068.17926441373
864,01-10S,Yonge Street Southbound,Elgin Mills Road East,Major Mackenzie Drive East,1,Active,1,10,SE,SE,SE,2,Regional Road,01-08S,01-12S,2,York Region,801.667242320852
865,55-01,Jane Street,Steeles Avenue West,Exit 67,55,Active,55,1,SW,SW,SW,2,Regional Road,Start,55-02,6,York Region,1224.98673565954
866,07-16M,Highway 7 Rapidway,Highway 400,Jane Street,7,Active,7,16,SW,SW,SW,1,Rapidway,07-15,07-18M,2,Metrolinx,1240.98698318224
867,95-22,Steeles Avenue West,Dufferin Street,Bathurst Street,95,Active,95,22,,,SW,0,Regional Road,95-20,95-24,6,Toronto,2042.19123417254
868,69-04,Ninth Line,Highway 407,Highway 7,69,Active,69,4,SE,SE,SE,2,Regional Road,69-03,69-06,4,York Region,944.825019939383
869,18-46,Park Road,Old Shiloh Road,Frog Street,18,Active,18,46,NO,NO,NO,3,Regional Road,18-44,18-48,2,York Region,1518.59359491563
870,73-41,16th Avenue,Ninth Line,Cornell Centre Boulevard,73,Active,73,41,SE,SE,SE,2,Regional Road,73-40,73-42,4,York Region,1277.90962471212
871,26-29,St Johns Sideroad,Leslie Street,Highway 404,26,Active,26,29,CE,CE,CE,4,Regional Road,26-28,26-30,2,York Region,1028.37001431816
872,13-32,Mount Albert Road,Woodbine Avenue,Warden Avenue,13,Active,13,32,NO,NO,NO,3,Regional Road,13-30,13-34,2,York Region,2071.37842239192
873,65-42,Warden Avenue,Boag Road,Ravenshoe Road,65,Active,65,42,NO,NO,NO,3,Regional Road,65-40,65-44,2,York Region,1838.23081107064
874,25-12,Major Mackenzie Drive West,Islington Avenue,Pine Valley Drive,25,Active,25,12,SW,SW,SW,2,Regional Road,25-10,25-14,6,York Region,2646.51277897952
875,38-36,Bathurst Street,Holland Landing Road,Queensville Sideroad West,38,Active,38,36,NO,NO,NO,3,Regional Road,38-35,End,2,York Region,1768.47734489399
876,78-54,Metro Road North,Deer Park Road,Woodbine Avenue,78,Active,78,54,NO,NO,NO,3,Regional Road,78-52,78-56,2,York Region,3955.96715561613
877,27-22,Highway 27,16th Sideroad,17th Sideroad,27,Active,27,22,CE,CE,CE,2,Regional Road,27-20,27-24,2,York Region,2100.36492015433
878,08-45,Woodbine Avenue,Glenwoods Avenue,Glenwoods Avenue,8,Active,8,45,NO,NO,NO,2,Regional Road,08-44,08-46,4,York Region,213.006826680293
879,95-14,Steeles Avenue West,Pine Valley Drive,Weston Road,95,Active,95,14,,,SW,0,Regional Road,95-12,95-15,4,Toronto,1525.81363433894
880,95-30,Steeles Avenue East,Highway 404,Woodbine Avenue,95,Active,95,30,,,SE,0,Regional Road,95-29,95-32,6,Toronto,307.550445454358
881,32-40,Ravenshoe Road,Highway 48,East Townline / Miles Road,32,Active,32,40,NO,NO,NO,2,Regional Road,32-38,32-44,2,York Region,748.758305036188
882,95-42,Steeles Avenue East,Ninth Line,Ressor Road,95,Active,95,42,,,SE,0,Regional Road,95-40,95-44,2,Toronto,2240.08568388431
883,67-32,McCowan Road,Herald Road,Mount Albert Road,67,Active,67,32,NO,NO,NO,4,Regional Road,67-30,67-34,2,York Region,2039.57125310355
884,12-14,Leslie Street,19th Avenue,Stouffville Road,12,Active,12,14,SE,SE,SE,2,Regional Road,12-12,12-16,2,York Region,2207.76145268525
885,01-28S,Yonge Street Southbound,Davis Drive / Davis Drive West,Eagle Street / Eagle Street West,1,Active,1,28,CE,CE,CE,2,Regional Road,01-30,01-27S,2,York Region,1080.05287067511
886,12-04,Leslie Street,Highway 407,Highway 7,12,Active,12,4,SE,SE,SE,2,Regional Road,12-03,12-06,5,York Region,810.470227833511
887,01-27N,Yonge Street Northbound,Mulock Drive,Eagle Street / Eagle Street West,1,Active,1,27,CE,CE,CE,2,Regional Road,01-26N,01-28N,2,York Region,1063.71085280787
888,15-22,Wellington Street West,Dufferin Street,Bathurst Street,15,Active,15,22,CE,CE,CE,2,Regional Road,Start,15-24,2,York Region,1967.82774305673
889,38-04S,Bathurst Street Southbound,Richmond Hill-Vaughan Border,Highway 407,38,Active,38,4,SW,SW,SW,1,Regional Road,38-06S,38-03S,3,York Region,214.910906160186
890,15-28,Wellington Street East,Bayview Avenue,Leslie Street,15,Active,15,28,CE,CE,CE,2,Regional Road,15-26,15-29,4,York Region,2105.44837448127
891,03-32,Kennedy Road,Herald Road,Mount Albert Road,3,Active,3,32,NO,NO,NO,4,Regional Road,03-30,03-34,2,York Region,2159.59790183306
892,65-32,Warden Avenue,Herald Road,Mount Albert Road,65,Active,65,32,NO,NO,NO,3,Regional Road,65-30,65-34,2,York Region,2054.57148655197
893,65-52,Warden Avenue,Boyers Sideroad,Baseline Road,65,Active,65,52,NO,NO,NO,3,Regional Road,65-50,End,2,York Region,928.966980592612
894,08-06,Woodbine Avenue,Highway 7,16th Avenue,8,Active,8,6,SE,SE,SE,2,Regional Road,08-04,08-08,5,York Region,2036.98473319613
895,49-16,Teston Road,Highway 400,Jane Street,49,Active,49,16,SW,SW,SW,3,Regional Road,49-15,49-18,2,York Region,1037.62632262931
896,08-30,Woodbine Avenue,Davis Drive,Green Lane East / Herald Road,8,Active,8,30,NO,NO,NO,2,Regional Road,08-28,08-32,4,York Region,2051.05084096302
897,27-09,Highway 27,Humber Bridge Trail,Nashville Road,27,Active,27,9,SW,SW,SW,2,Regional Road,27-08,27-10,2,York Region,1565.62873905057
898,14-30,Stouffville Road,Highway 404,Woodbine Avenue,14,Active,14,30,SE,SE,SE,2,Regional Road,14-29,14-32,5,York Region,877.251225249052
899,67-04,McCowan Road,Highway 407,Highway 7,67,Active,67,4,SE,SE,SE,1,Regional Road,67-03,67-06,5,York Region,1232.81984158912
900,67-18,McCowan Road,Bethesda Sideroad,Bloomington Road,67,Active,67,18,SE,SE,SE,3,Regional Road,67-16,67-30,2,York Region,2057.14844461872
901,78-62,Metro Road North,Salvation Army Road,Dalton Road,78,Active,78,62,NO,NO,NO,3,Regional Road,78-60,End,2,York Region,1839.53820015531
902,34-36,2nd Concession Road,Doane Road,Queensville Sideroad,34,Active,34,36,NO,NO,NO,3,Regional Road,34-34,End,2,York Region,2031.14507375919
903,14-92,Stouffville Road - Woodbine Road Ramp,Stouffville Road,Woodbine Avenue,14,Active,14,92,CE,CE,CE,2,Channelized Right Turn Lane,Start,End,1,York Region,298.867960416081
904,16-92,Lloydtown/Aurora Road - Dufferin Street Ramp,Lloydtown/Aurora Road,Dufferin Street,16,Active,16,92,CE,CE,CE,3,Channelized Right Turn Lane,Start,End,1,York Region,319.615850398997
905,12-24,Leslie Street,Wellington Street East,St Johns Sideroad,12,Active,12,24,CE,CE,CE,2,Regional Road,12-22,12-26,2,York Region,2059.07505854172
906,12-37,Leslie Street,Queensville Sideroad,Proposed Bradford Bypass,12,Active,12,37,NO,NO,NO,2,Regional Road,12-36,12-38,2,York Region,1556.33137612977
907,27-26,Highway 27,18th Sideroad,Lloydtown/Aurora Road,27,Active,27,26,CE,CE,CE,2,Regional Road,27-24,27-28,2,York Region,1903.63139033561
908,03-22,Kennedy Road,Vandorf Sideroad,Aurora Road,3,Active,3,22,CE,CE,CE,3,Regional Road,03-20,03-24,2,York Region,2072.65697289228
909,77-24,Queensville Sideroad West,Bathurst Street,Queensville Sideroad / Yonge Street,77,Active,77,24,NO,NO,NO,3,Regional Road,Start,77-26,2,York Region,2177.91153612869
910,01-12S,Yonge Street Southbound,19th Avenue / Gamble Road,Elgin Mills Road East / Elgin Mills Road West,1,Active,1,12,SE,SE,SE,2,Regional Road,01-14S,01-10S,2,York Region,2099.91180260583
911,06-14,Keele Street,Kirby Road,King Vaughan Road,6,Active,6,14,SW,SW,SW,2,Regional Road,06-12,06-16,4,York Region,2131.85873047278
912,25-26,Major Mackenzie Drive East,Major Mackenzie Drive West / Yonge Street,Bayview Avenue,25,Active,25,26,SE,SE,SE,2,Regional Road,25-24,25-28,4,York Region,1829.57757754844
913,67-01,McCowan Road,Steeles Avenue East,Denison Street,67,Active,67,1,SE,SE,SE,1,Regional Road,Start,67-02,6,York Region,1185.21243614882
914,82-91,Cedartam Street - Victoria Road Ramp,Cedartam Street,Victoria Road,82,Active,82,91,NO,NO,NO,4,Channelized Right Turn Lane,Start,End,2,York Region,57.4198368851304
915,07-32W,Highway 7 Westbound,Woodbine Avenue,Warden Avenue,7,Active,7,32,SE,SE,SE,1,Regional Road,07-30W,07-34,3,York Region,2091.61373053046
916,21-54,Pefferlaw Road,Highway 404 Extension,Highway 48 / Moorings Road,21,Active,21,54,NO,NO,NO,4,Regional Road,21-53,End,2,York Region,90.9326794948672
917,56-04,Weston Road,Highway 7,Langstaff Road,56,Active,56,4,SW,SW,SW,2,Regional Road,56-02,56-06,5,York Region,2089.99395326597
918,16-14,Lloydtown/Aurora Road,7th Concession,Weston Road,16,Active,16,14,CE,CE,CE,3,Regional Road,16-12,16-15,2,York Region,2188.52119520746
919,78-56,Metro Road North,Woodbine Avenue,Civic Centre Road,78,Active,78,56,NO,NO,NO,3,Regional Road,78-54,78-58,2,York Region,2076.96535103951
920,49-30,Elgin Mills Road East,Highway 404,Woodbine Avenue,49,Active,49,30,SE,SE,SE,2,Regional Road,49-29,End,4,York Region,524.052907977001
921,25-16,Major Mackenzie Drive West,Highway 400,Jane Street,25,Active,25,16,SW,SW,SW,1,Regional Road,25-15,25-18,4,York Region,1011.4857280768
922,31-42,Davis Drive,Ninth Line,East Townline / York/Durham Line,31,Active,31,42,CE,CE,CE,2,Regional Road,31-40,End,2,York Region,746.774607324179
923,56-02,Weston Road,Highway 407,Highway 7,56,Active,56,2,SW,SW,SW,2,Regional Road,56-01,56-04,6,York Region,903.335684976582
924,53-20,Dufferin Street,15th Sideroad,16th Sideroad,53,Active,53,20,CE,CE,CE,2,Regional Road,53-18,53-22,2,York Region,2061.08457055204
925,95-20,Steeles Avenue West,Keele Street,Dufferin Street,95,Active,95,20,,,SW,0,Regional Road,95-18,95-22,6,Toronto,2065.28461562552
926,72-07,Langstaff Road,Huntington Road,Highway 427,72,Active,72,7,SW,SW,SW,2,Regional Road,72-06,72-08,2,York Region,1135.15619805888
927,29-26,19th Avenue,Gamble Road / Yonge Street,Bayview Avenue,29,Active,29,26,SE,SE,SE,3,Regional Road,29-24,29-28,4,York Region,1801.00502380943
928,88-38,Baseline Road,McCowan Road,Dalton Road,8A,Active,88,38,NO,NO,NO,2,Regional Road,88-36,End,2,York Region,1999.06231490007
929,55-22,Jane Street,16th Sideroad,17th Sideroad,55,Active,55,22,CE,CE,CE,3,Regional Road,55-20,55-24,2,York Region,2049.67674448207
930,65-48,Warden Avenue,Highway 404 Extension,Old Homestead Road,65,Active,65,48,NO,NO,NO,3,Regional Road,65-47,65-50,2,York Region,1074.89860376171
931,03-10,Kennedy Road,Major Mackenzie Drive East,Elgin Mills Road East,3,Active,3,10,SE,SE,SE,3,Regional Road,03-08,03-12,2,York Region,2038.6403807137
932,65-91,Warden Avenue - Old Homestead Road Ramp,Warden Aveenue,Old Homestead Road,65,Active,65,91,NO,NO,NO,3,Channelized Right Turn Lane,Start,End,1,York Region,110.664745268131
933,25-10,Major Mackenzie Drive West,Highway 27,Islington Avenue,25,Active,25,10,SW,SW,SW,2,Regional Road,25-08,25-12,2,York Region,1483.95464129859
934,80-44,Black River Road,Dalton Road,Park Road,80,Active,80,44,NO,NO,NO,3,Regional Road,Start,End,2,York Region,3179.9059663838
935,95-16,Steeles Avenue West,Highway 400,Jane Street,95,Active,95,16,,,SW,0,Regional Road,95-15,95-18,4,Toronto,1109.98856590464
936,08-55,Woodbine Avenue,Metro Road North,Lake Drive East / Lake Drive North,8,Active,8,55,NO,NO,NO,5,Regional Road,08-54,End,2,York Region,267.149565718797
937,26-24,St Johns Sideroad,18th Sideroad / Bathurst Street,Yonge Street,26,Active,26,24,CE,CE,CE,2,Regional Road,26-22,26-26,2,York Region,2209.93809420873
938,07-40,Highway 7,Main Street Markham,Ninth Line,7,Active,7,40,SE,SE,SE,2,Regional Road,07-38,07-41,4,York Region,2101.90011027441
939,15-18,17th Sideroad,Jane Street,Keele Street,15,Active,15,18,CE,CE,CE,4,Regional Road,END,15-20,2,York Region,2019.8479393416
940,07-28E,Highway 7 Eastbound,Bayview Avenue,Leslie Street,7,Active,7,28,SE,SE,SE,1,Regional Road,07-26,07-29E,3,York Region,2061.39546205064
941,27-12,Highway 27,Islington Avenue,Kirby Road,27,Active,27,12,SW,SW,SW,2,Regional Road,27-10,27-14,2,York Region,2057.23101339938
942,18-52,Park Road,Old Homestead Road,Highway 404 Extension,18,Active,18,52,NO,NO,NO,3,Regional Road,18-50,18-54,2,York Region,2098.88438046614
943,38-10,Bathurst Street,Major Mackenzie Drive West,Elgin Mills Road West / Teston Road,38,Active,38,10,SW,SW,SW,2,Regional Road,38-08,38-12,5,York Region,2057.25157996743
944,31-34,Davis Drive,Warden Avenue,Kennedy Road,31,Active,31,34,CE,CE,CE,2,Regional Road,31-32,31-36,2,York Region,2024.50702971614
945,07-91S,Highway 7 - Bathurst Street Interchange Southbound,Bathurst Street,Highway 7,7,Active,7,91,SW,SW,SW,1,Regional Road,Start,End,2,York Region,466.560544307543
946,07-10,Highway 7,Highway 27,Kipling Avenue,7,Active,7,10,SW,SW,SW,1,Regional Road,07-08,07-11,7,York Region,2049.15717507586
947,25-08,Major Mackenzie Drive West,Huntington Road,Highway 27,25,Active,25,8,SW,SW,SW,2,Regional Road,25-06,25-10,2,York Region,2419.67056255888
948,03-16,Kennedy Road,Stouffville Road,Bethesda Sideroad,3,Active,3,16,SE,SE,SE,3,Regional Road,03-14,03-18,2,York Region,2105.24246342719
949,29-28,19th Avenue,Bayview Avenue,Leslie Street,29,Active,29,28,SE,SE,SE,3,Regional Road,29-26,End,2,York Region,2033.07667562756
950,13-36,Mount Albert Road,Kennedy Road,McCowan Road,13,Active,13,36,NO,NO,NO,2,Regional Road,13-34,13-38,2,York Region,2012.59004265864
951,67-06,McCowan Road,Highway 7,16th Avenue,67,Active,67,6,SE,SE,SE,2,Regional Road,67-04,67-08,6,York Region,2037.45400739239
952,17-02,Islington Avenue,Highway 407,Highway 7,17,Active,17,2,SW,SW,SW,2,Regional Road,17-01,17-04,5,York Region,1469.52140185477
953,49-06,Nashville Road,Cold Creek Road,Huntington Road,49,Active,49,6,SW,SW,SW,3,Regional Road,49-04,49-08,2,York Region,1999.89134870033
